report_date,active_users,purchase_user_count,redeem_user_count,purchase_times,redeem_times,purchase_redeem_overlap_users,avg_purchase_per_user,avg_redeem_per_user
20131217,4717,3206,443,3206,443,411,60505.55115408609,263065.1083521445
20131218,4752,3285,407,3285,407,384,54860.21430745814,496857.17936117935
20131219,4783,3325,410,3325,410,383,70265.0697744361,400056.93658536585
20131220,4854,3364,439,3364,439,420,39794.11414982164,350065.9749430524
20131221,4890,3370,373,3370,373,347,33234.65252225519,222926.5254691689
20131222,4935,3343,354,3343,354,330,46228.901286269815,237283.18926553673
20131223,4979,3351,483,3351,483,448,59309.86780065652,286704.4409937888
20131224,5010,3392,474,3392,474,438,90037.24469339622,250227.66033755275
20131225,5045,3502,436,3502,436,418,108531.1673329526,396228.1651376147
20131226,5077,3572,474,3572,474,454,61670.607222844345,510237.47679324896
20131227,5117,3603,459,3603,459,438,58595.32805995004,356258.2745098039
20131228,5155,3622,400,3622,400,376,53232.46990612921,153458.05
20131229,5176,3609,373,3609,373,347,44741.85286783042,147801.57908847186
20131230,5238,3621,495,3621,495,475,79082.78873239437,363286.10909090907
20131231,5258,3623,498,3623,498,466,73378.94948937345,269543.2329317269
20140101,5293,3741,451,3741,451,429,88459.3865276664,171547.1286031042
20140102,5340,3789,505,3789,505,488,114794.59989443125,376545.44554455444
20140103,5374,3818,511,3818,511,485,89595.2867993714,249930.04892367907
20140104,5414,3822,435,3822,435,415,48688.09785452642,229584.07816091954
20140105,5483,3834,410,3834,410,386,53737.79525299948,382395.11219512194
20140106,5514,3820,517,3820,517,494,115836.13664921466,369279.74661508703
20140107,5560,3872,501,3872,501,481,152305.39669421487,275394.7964071856
20140108,5621,4003,578,4003,578,555,65956.8223832126,370034.73010380624
20140109,5646,4011,531,4011,531,509,69982.17078035402,264390.2768361582
20140110,5701,4069,506,4069,506,491,58441.29663307938,231737.45652173914
20140111,5764,4099,487,4099,487,469,59381.175408636256,146879.22381930184
20140112,5836,4080,461,4080,461,443,55944.93725490196,306954.03904555313
20140113,5945,4103,532,4103,532,502,108995.13770411894,336322.8796992481
20140114,6076,4156,554,4156,554,529,85877.5572666025,288408.64440433215
20140115,6136,4256,539,4256,539,514,91966.33411654136,329532.9257884972
20140116,6215,4330,563,4330,563,538,86592.8598152425,272055.8188277087
20140117,6241,4368,554,4368,554,535,79081.23923992674,229937.202166065
20140118,6268,4372,529,4372,529,496,53339.5901189387,270075.3156899811
20140119,6268,4351,526,4351,526,491,42537.81245690646,223629.94486692015
20140120,6353,4358,603,4358,603,577,77044.75149150987,734653.5389718076
20140121,6382,4373,605,4373,605,568,94409.9270523668,500537.4148760331
20140122,6406,4482,553,4482,553,535,111274.12003569835,529577.1934900542
20140123,6428,4517,510,4517,510,489,106586.25127296879,409851.62352941174
20140124,6467,4535,526,4535,526,504,135414.30959206173,657469.5836501902
20140125,6526,4549,415,4549,415,406,96912.42536821279,447047.84578313254
20140126,6600,4546,459,4546,459,439,116234.60624725033,722772.3725490196
20140127,6626,4532,445,4532,445,421,145013.1253309797,630664.8561797753
20140128,6683,4575,443,4575,443,425,184355.13486338797,560574.0767494356
20140129,6735,4725,420,4725,420,409,201582.9964021164,512296.82380952383
20140130,6749,4733,331,4733,331,318,48154.703359391504,318090.9516616314
20140131,6783,4775,242,4775,242,230,18287.785340314134,198894.1694214876
20140201,6780,4794,309,4794,309,298,13409.923237380059,199116.6990291262
20140202,6793,4764,256,4764,256,239,12156.331024349287,95295.78125
20140203,6831,4772,275,4772,275,264,17671.80385582565,167669.79636363636
20140204,6850,4795,290,4795,290,276,17446.01584984359,154921.83793103448
20140205,6883,4836,338,4836,338,323,43226.63151364764,282271.31360946747
20140206,6940,4888,425,4888,425,411,46616.25941080196,262671.3788235294
20140207,7075,4976,570,4976,570,547,116321.98975080386,479793.35614035086
20140208,7133,5005,530,5005,530,506,71579.51408591408,346098.5603773585
20140209,7188,4993,546,4993,546,520,68478.11616262767,481600.82234432234
20140210,7306,5027,642,5027,642,619,128797.52138452357,672513.101246106
20140211,7358,5034,594,5034,594,555,162654.58978943186,409188.8249158249
20140212,7443,5256,606,5256,606,587,145169.28652968036,585125.2788778878
20140213,7479,5321,618,5321,618,590,117778.38639353505,586987.0323624596
20140214,7604,5383,584,5383,584,565,91159.2855285157,450790.9229452055
20140215,7669,5419,485,5419,485,465,47129.208156486435,250440.60412371135
20140216,7721,5435,561,5435,561,530,60961.29310027599,326305.2121212121
20140217,7826,5448,651,5448,651,619,129610.51027900146,623362.9293394777
20140218,7889,5467,669,5467,669,634,108572.00384122919,405269.54260089685
20140219,7900,5671,629,5671,629,599,72009.86880620701,515088.1573926868
20140220,8005,5775,651,5775,651,627,82930.769004329,354616.6052227343
20140221,8065,5801,667,5801,667,649,61020.80451646268,268237.5532233883
20140222,8079,5888,603,5888,603,582,47897.878057065216,223441.3233830846
20140223,8158,5882,618,5882,618,591,57302.56902414145,315880.3430420712
20140224,8280,5904,820,5904,820,790,111164.81114498645,577402.6292682927
20140225,8344,5933,789,5933,789,747,94978.23849654476,379157.6070975919
20140226,8402,6137,776,6137,776,750,110933.86752484928,367035.67268041236
20140227,8440,6192,790,6192,790,759,108673.98062015504,623779.7924050633
20140228,8454,6230,833,6230,833,806,68815.69085072231,386590.881152461
20140301,8491,6286,898,6286,898,861,57725.991091314034,235277.29510022272
20140302,8532,6233,761,6233,761,730,44312.887854965506,323520.9159001314
20140303,8595,6228,853,6228,853,811,81134.53147077713,601427.1512309496
20140304,8638,6261,842,6261,842,809,83716.07410956715,297580.73396674584
20140305,8682,6393,798,6393,798,760,71061.39386829345,261995.93107769423
20140306,8748,6440,793,6440,793,760,87234.12577639752,306620.2824716267
20140307,8789,6463,806,6463,806,775,58817.85223580381,361150.39702233253
20140308,8823,6510,926,6510,926,889,37369.30399385561,151536.93520518357
20140309,8858,6460,758,6460,758,730,37887.38684210526,272180.08311345644
20140310,8887,6456,808,6456,808,773,77035.01796778191,381238.396039604
20140311,8940,6471,788,6471,788,756,66527.7107093185,629492.2411167512
20140312,8990,6630,753,6630,753,732,56863.93619909502,553109.2536520584
20140313,9019,6638,772,6638,772,745,52167.35613136487,410587.4896373057
20140314,9063,6698,725,6698,725,699,47162.94879068379,429759.40965517244
20140315,9092,6692,746,6692,746,708,42947.84847579199,325467.8927613941
20140316,9111,6667,697,6667,697,655,40406.08834558272,560379.5509325681
20140317,9167,6657,893,6657,893,855,50925.05362776025,493420.59574468085
20140318,9178,6668,883,6668,883,842,65308.80578884223,464598.7836919592
20140319,9245,6797,854,6797,854,822,52819.488597910844,502691.94028103043
20140320,9313,6816,840,6816,840,804,53552.15595657277,400090.9285714286
20140321,9341,6824,826,6824,826,798,41376.29220398593,314352.64648910414
20140322,9352,6838,738,6838,738,707,28034.53275811641,187045.27371273714
20140323,9394,6802,752,6802,752,724,24618.695824757426,247929.93484042553
20140324,9469,6796,897,6796,897,850,46083.03914067098,488099.508361204
20140325,9493,6809,859,6809,859,825,46166.10456748421,364040.18044237484
20140326,9512,6921,882,6921,882,836,39435.853778355726,510492.3276643991
20140327,9553,6944,871,6944,871,840,38339.72955069124,412252.17221584386
20140328,9579,6942,895,6942,895,856,32550.612935753386,453009.9955307263
20140329,9637,6956,790,6956,790,750,23037.806929269696,196210.19746835442
20140330,9674,6911,780,6911,780,745,29740.1148893069,339377.9628205128
20140331,9738,6933,1005,6933,1005,963,57534.24275205539,421743.9144278607
20140401,9798,6948,1008,6948,1008,956,65244.7589234312,275227.5376984127
20140402,9812,7043,963,7043,963,922,50453.94263808036,283086.25752855657
20140403,9873,7078,947,7078,947,908,51409.59593105397,281526.35374868003
20140404,9858,7070,893,7070,893,867,35628.839321074964,224179.88465845466
20140405,9864,7063,712,7063,712,679,28647.39374203596,229213.03651685393
20140406,9885,7037,694,7037,694,656,18399.496092084693,201119.13976945245
20140407,9922,7011,797,7011,797,756,28089.605334474396,222040.85445420328
20140408,9951,7074,993,7074,993,950,50151.27919140515,251777.57401812688
20140409,10001,7104,899,7104,899,866,53962.213541666664,321835.68186874304
20140410,10042,7137,871,7137,871,837,54163.85876418663,329408.56946039037
20140411,10074,7142,882,7142,882,844,33300.17950154019,314146.75056689343
20140412,10066,7142,728,7142,728,695,24872.87216465976,169361.7032967033
20140413,10138,7136,844,7136,844,797,29172.223234304933,212007.9644549763
20140414,10165,7107,896,7107,896,850,43598.32123258759,464271.1875
20140415,10181,7128,926,7128,926,885,60140.46450617284,308091.8747300216
20140416,10206,7189,889,7189,889,849,53950.179162609544,287867.98650168726
20140417,10215,7241,855,7241,855,821,49135.84408230907,310341.0432748538
20140418,10251,7254,837,7254,837,799,32988.748690377724,269955.6857825568
20140419,10263,7251,828,7251,828,790,37061.00758516067,176781.32850241545
20140420,10280,7204,835,7204,835,789,26549.07398667407,192883.57005988024
20140421,10318,7202,975,7202,975,934,41812.64468203277,303215.64717948716
20140422,10304,7184,871,7184,871,827,39706.11873608018,308622.43513203214
20140423,10330,7283,936,7283,936,900,43069.79362899904,297511.68376068375
20140424,10373,7271,940,7271,940,900,43784.74638976757,238868.88723404254
20140425,10409,7283,949,7283,949,909,30334.67417273102,240004.52265542676
20140426,10421,7305,819,7305,819,790,20756.388090349075,193068.32967032967
20140427,10446,7251,842,7251,842,798,20250.71728037512,227928.00118764845
20140428,10484,7231,999,7231,999,948,44936.69921172728,328052.7877877878
20140429,10457,7224,961,7224,961,913,45765.10299003322,320060.71696149843
20140430,10492,7331,957,7331,957,926,35478.28809166553,294499.4514106583
20140501,10513,7315,822,7315,822,778,26390.30840738209,174407.24452554746
20140502,10516,7307,805,7307,805,765,17152.902422334748,150586.4149068323
20140503,10526,7301,780,7301,780,743,25351.936447062046,255856.46538461538
20140504,10555,7309,956,7309,956,928,41467.71952387467,432240.6213389121
20140505,10612,7301,964,7301,964,909,50804.56773044788,320882.5529045643
20140506,10624,7276,973,7276,973,929,43705.70753161077,350574.19938335044
20140507,10656,7356,910,7356,910,870,56732.94154431756,263047.25164835167
20140508,10671,7363,918,7363,918,877,53353.0837973652,297589.86819172115
20140509,10715,7377,922,7377,922,892,38156.297817541,268702.7885032538
20140510,10705,7370,835,7370,835,792,38974.24301221167,176345.302994012
20140511,10753,7370,872,7370,872,814,24752.2473541384,175396.30848623853
20140512,10767,7332,924,7332,924,883,44341.05250954719,318130.85281385283
20140513,10788,7335,896,7335,896,844,37524.40259032038,287855.3292410714
20140514,10790,7436,884,7436,884,841,41080.489779451316,357721.0882352941
20140515,10824,7460,933,7460,933,891,42006.312198391424,255420.8392282958
20140516,10849,7450,930,7450,930,891,31136.566845637582,303327.86666666664
20140517,10868,7478,791,7478,791,764,22864.919497191764,184392.37926675094
20140518,10874,7407,784,7407,784,736,22197.872552990415,195714.3099489796
20140519,10914,7422,991,7422,991,943,34906.75424413905,296459.54187689204
20140520,10930,7459,1012,7459,1012,961,60860.07547928677,256957.23320158102
20140521,10971,7518,970,7518,970,934,39611.56185155627,257962.60412371135
20140522,10999,7508,941,7508,941,901,45902.57711774108,266852.80021253985
20140523,11029,7521,941,7521,941,903,33179.92221779019,243358.9659936238
20140524,11039,7519,841,7519,841,806,21289.16797446469,183602.69678953628
20140525,11053,7484,890,7484,890,845,22306.724478888296,259555.90786516853
20140526,11082,7444,1025,7444,1025,982,46331.39011284256,268007.3873170732
20140527,11084,7455,945,7455,945,899,40113.957746478874,340704.5978835979
20140528,11081,7545,1010,7545,1010,969,36598.38475811796,411773.94455445546
20140529,11093,7528,913,7528,913,876,42581.012619553665,343732.5301204819
20140530,11100,7543,964,7543,964,924,30034.164258252684,324483.58817427384
20140531,11110,7511,788,7511,788,737,19547.81906537079,181297.0342639594
20140601,11116,7475,845,7475,845,803,24547.127090301005,177312.72544378697
20140602,11141,7444,791,7444,791,746,21254.621440085975,215435.53223767382
20140603,11180,7503,1049,7503,1049,1012,36103.886711981875,367609.70638703526
20140604,11178,7523,962,7523,962,923,36482.885019274225,315986.3180873181
20140605,11221,7565,888,7565,888,858,50236.955320555186,400501.62725225225
20140606,11234,7546,978,7546,978,936,39943.53299761463,281045.05828220857
20140607,11237,7524,819,7524,819,774,24960.39274322169,178514.74603174604
20140608,11241,7495,807,7495,807,760,40316.38012008005,210068.56505576207
20140609,11292,7530,961,7530,961,920,48620.766799468794,299188.50364203955
20140610,11299,7500,921,7500,921,870,47204.212933333336,323767.671009772
20140611,11333,7582,914,7582,914,874,43215.70205750462,269286.1487964989
20140612,11349,7584,911,7584,911,871,43824.52333860759,259569.57738748626
20140613,11379,7613,953,7613,953,910,28493.861815315908,405875.17313746066
20140614,11390,7633,842,7633,842,810,23788.095113323725,273059.60926365794
20140615,11407,7591,863,7591,863,808,21878.556975365565,135137.60834298958
20140616,11433,7584,1060,7584,1060,998,51069.15664556962,464480.65
20140617,11451,7577,1100,7577,1100,1026,35680.43988385905,456872.93
20140618,11487,7681,1104,7681,1104,1043,43648.3151933342,382174.1213768116
20140619,11497,7638,1077,7638,1077,1013,44332.16640481802,264583.3426183844
20140620,11502,7673,1096,7673,1096,1038,32788.026847386944,261480.89872262772
20140621,11528,7636,916,7636,916,880,23310.52723939235,252187.52729257641
20140622,11541,7624,909,7624,909,861,19304.9342864638,397453.9625962596
20140623,11562,7589,1065,7589,1065,1011,30600.56265647648,350966.78309859155
20140624,11577,7606,1032,7606,1032,984,32270.676571128057,415185.57073643414
20140625,11594,7663,1099,7663,1099,1053,34537.80516768889,497994.4777070064
20140626,11622,7646,1151,7646,1151,1096,38925.97946638765,363807.21894005215
20140627,11616,7665,1042,7665,1042,993,34479.15238095238,383343.9078694818
20140628,11630,7629,954,7629,954,903,20163.345261502163,297065.2368972746
20140629,11627,7586,973,7586,973,923,20933.50118639599,268418.08735868445
20140630,11682,7596,1190,7596,1190,1138,43977.6345444971,383653.60840336134
20140701,11718,7606,1217,7606,1217,1152,50542.82842492769,307448.26705012325
20140702,11716,7640,1106,7640,1106,1048,50334.53128272251,297424.0063291139
20140703,11734,7629,1030,7629,1030,983,39047.665880194,280592.01941747573
20140704,11718,7615,1056,7615,1056,1000,27793.806697307944,250468.32386363635
20140705,11736,7612,1003,7612,1003,953,22252.206516027327,271719.9780658026
20140706,11734,7576,924,7576,924,872,26342.268347412883,211613.37445887446
20140707,11770,7576,1040,7576,1040,986,35926.98614044351,305396.7009615385
20140708,11771,7550,1008,7550,1008,958,29700.675894039734,337751.05456349207
20140709,11772,7616,1028,7616,1028,980,36502.830225840335,262298.52237354085
20140710,11782,7655,1073,7655,1073,1031,36981.831613324626,303829.6738117428
20140711,11804,7632,1017,7632,1017,978,27341.590801886792,236038.10029498526
20140712,11823,7618,880,7618,880,827,23319.02638487792,169410.78181818183
20140713,11871,7598,921,7598,921,851,23658.842458541723,216568.93593919653
20140714,11902,7610,992,7610,992,942,33481.93482260184,287049.6764112903
20140715,11901,7610,957,7610,957,904,43996.0593955322,273481.9038662487
20140716,11916,7677,937,7677,937,890,51438.07997915852,250561.310565635
20140717,11915,7647,955,7647,955,911,33086.3449718844,312334.43455497385
20140718,11924,7682,921,7682,921,884,27201.19695391825,226570.34419109664
20140719,11940,7652,790,7652,790,747,27485.36630946158,196790.2316455696
20140720,11961,7627,861,7627,861,818,23134.824177264978,202628.14866434378
20140721,11987,7641,954,7641,954,903,49481.55921999738,455127.3364779874
20140722,12020,7646,998,7646,998,943,31792.327099136804,369782.9889779559
20140723,12017,7720,978,7720,978,936,34386.255699481866,315289.4447852761
20140724,12030,7706,966,7706,966,915,35951.788216973786,359857.58902691514
20140725,12009,7729,949,7729,949,910,23501.24052270669,277001.8872497366
20140726,12028,7704,840,7704,840,796,16649.539589823467,336492.0726190476
20140727,12040,7681,893,7681,893,842,19711.788959770864,186574.078387458
20140728,12083,7683,1035,7683,1035,986,48387.70740596121,334286.8685990338
20140729,12073,7673,978,7673,978,931,29726.71002215561,310306.8537832311
20140730,12089,7731,986,7731,986,940,27152.667442762904,253669.08316430022
20140731,12101,7736,979,7736,979,923,24783.986039296793,283140.32584269665
20140801,12111,7736,1050,7736,1050,1011,48459.76408996898,240515.10285714286
20140802,12103,7704,874,7704,874,830,24544.669003115265,197082.63729977116
20140803,12136,7669,891,7669,891,847,22665.97952796975,142677.01122334457
